ts,phase,level,confirm,ack_s,attempts,n,bh_mean,bh_sd,bh_min,bh_max,c0_mean,c0_sd,c0_min,c0_max,c1_mean,c1_sd,c1_min,c1_max,sat,z2m_brightness
1789593878.863,ambient_pre,0,z2m,0.06,1,10,7.0,0.00,7,7,6.0,0.00,6,6,1.0,0.00,1,1,,3
1789593882.576,up,1,none,,3,10,7.0,0.00,7,7,6.0,0.00,6,6,1.0,0.00,1,1,,
1789593885.547,up,2,z2m,0.36,1,10,3817.7,7.18,3805,3825,1502.5,1.57,1500,1504,315.0,0.00,315,315,,2
1789593888.519,up,3,z2m,0.36,1,10,4331.7,8.72,4319,4340,1692.7,1.85,1690,1695,352.0,0.00,352,352,,3
1789593891.518,up,4,z2m,0.36,1,10,4870.8,9.44,4852,4877,1893.3,1.95,1891,1896,391.7,0.46,391,392,,4
1789593894.489,up,5,z2m,0.36,1,10,5457.8,11.81,5440,5476,2111.7,2.93,2106,2117,434.3,0.64,433,435,,5
1789593897.486,up,6,z2m,0.36,1,10,6022.3,9.36,5996,6030,2320.5,3.47,2315,2325,475.2,0.75,474,476,,6
1789593900.457,up,7,z2m,0.37,1,10,6584.6,11.17,6561,6598,2532.4,2.87,2528,2536,517.4,0.66,516,518,,7
1789593903.429,up,8,z2m,0.36,1,10,7144.5,14.11,7119,7164,2741.1,2.66,2738,2745,558.0,0.77,557,559,,8
1789593906.400,up,9,z2m,0.36,1,10,7723.3,18.77,7688,7744,2954.0,3.29,2949,2959,599.6,0.66,599,601,,9
1789593909.392,up,10,z2m,0.37,1,10,8328.3,20.23,8300,8368,3180.0,6.31,3171,3193,644.4,1.11,643,647,,10
1789593912.363,up,11,z2m,0.36,1,10,8872.9,12.09,8841,8882,3379.0,3.71,3376,3384,683.2,0.75,682,684,,11
1789593915.335,up,12,z2m,0.36,1,10,9393.1,18.70,9367,9414,3578.7,3.95,3575,3584,722.3,0.64,721,723,,12
1789593918.306,up,13,z2m,0.36,1,10,9941.6,20.42,9907,9960,3779.8,4.28,3775,3785,762.2,0.75,761,763,,13
1789593921.278,up,14,z2m,0.37,1,10,10475.2,20.24,10445,10496,3978.4,4.41,3972,3983,801.0,0.77,800,802,,14
1789593924.249,up,15,z2m,0.36,1,10,11035.6,23.93,10992,11059,4183.6,5.24,4177,4191,841.3,1.27,840,843,,15
1789593927.221,up,16,z2m,0.37,1,10,11605.3,25.55,11569,11632,4395.8,5.38,4390,4404,882.7,1.19,881,884,,16
1789593930.192,up,18,z2m,0.36,1,10,12723.5,30.21,12657,12748,4803.9,5.59,4794,4811,962.8,1.17,961,964,,18
1789593933.164,up,20,z2m,0.36,1,10,13838.7,26.90,13784,13864,5211.1,5.77,5204,5220,1045.0,1.34,1043,1047,,20
1789593936.135,up,24,z2m,0.36,1,10,16038.8,32.85,15969,16066,5842.4,5.64,5838,5852,1216.7,1.10,1215,1218,,24
1789593939.107,up,28,z2m,0.36,1,10,18364.4,7.57,18351,18374,6262.9,6.17,6255,6270,1499.2,1.78,1496,1501,,28
1789593942.078,up,32,z2m,0.36,1,10,20594.7,40.64,20510,20637,6787.9,7.27,6778,6796,1721.7,2.33,1717,1724,,32
1789593945.050,up,40,z2m,0.35,1,10,25197.5,53.25,25090,25246,7621.9,8.09,7611,7632,2306.4,3.56,2300,2312,,40
1789593948.021,up,48,z2m,0.37,1,10,29691.5,42.59,29596,29739,8555.7,9.25,8544,8568,2827.2,2.96,2824,2831,,48
1789593950.993,up,56,z2m,0.36,1,10,33596.6,68.66,33510,33704,9496.0,8.63,9483,9506,3232.1,3.51,3226,3239,,56
1789593953.964,up,64,z2m,0.37,1,10,37346.3,78.68,37207,37436,10358.9,1.92,10357,10363,3637.8,2.14,3636,3643,,64
1789593956.936,up,80,z2m,0.36,1,10,41664.1,84.35,41505,41793,12130.1,3.99,12125,12137,3820.4,3.93,3816,3829,,80
1789593959.907,up,96,z2m,0.36,1,10,42719.4,71.19,42612,42860,13692.1,11.26,13675,13708,3609.4,3.77,3602,3614,,96
1789593963.240,up,112,z2m,0.72,1,10,43736.2,52.87,43650,43814,15154.0,9.60,15138,15165,3452.2,2.86,3448,3457,,112
1789593966.211,up,128,z2m,0.36,1,10,44605.6,57.24,44527,44722,16065.1,9.95,16052,16081,3378.6,3.07,3375,3383,,128
1789593969.183,up,144,z2m,0.36,1,10,45423.4,65.90,45314,45532,16791.7,8.22,16777,16805,3361.1,1.70,3359,3364,,144
1789593972.154,up,160,z2m,0.36,1,10,46098.4,63.69,46000,46208,17284.8,8.20,17269,17300,3394.4,2.06,3390,3398,,160
1789593975.126,up,176,z2m,0.36,1,10,46632.6,57.35,46543,46722,17533.9,7.75,17521,17549,3432.2,1.60,3429,3435,,176
1789593978.097,up,192,z2m,0.36,1,10,47209.2,60.27,47106,47312,17721.5,7.74,17710,17732,3466.5,1.63,3464,3469,,192
1789593981.069,up,208,z2m,0.36,1,10,47652.2,46.94,47554,47746,17890.8,7.77,17882,17903,3497.2,1.60,3495,3500,,208
1789593984.041,up,224,z2m,0.36,1,10,48044.4,53.88,47967,48149,18034.0,8.16,18025,18045,3523.3,1.85,3521,3526,,224
