# device,moes_bench,seconds,8.0,from,254,to,off,t_pub,1789598231.739,t_readback,1789598232.108,readback_level,226,sensors,BH1750 hres MTreg=31 (~54 ms)  TSL2591 id=0x50 gain=1x atime=100 ms
t_rel_pub,bh,c0,c1
-2.000,50175,18830,3712
-1.988,50175,18830,3712
-1.976,50175,18802,3706
-1.964,50194,18802,3706
-1.952,50194,18802,3706
-1.940,50194,18802,3706
-1.928,50194,18802,3706
-1.916,50298,18802,3706
-1.904,50298,18802,3706
-1.892,50298,18802,3706
-1.880,50298,18826,3711
-1.868,50298,18826,3711
-1.856,50233,18826,3711
-1.843,50233,18826,3711
-1.831,50233,18826,3711
-1.819,50233,18826,3711
-1.807,50233,18826,3711
-1.795,50159,18826,3711
-1.783,50159,18826,3711
-1.771,50159,18798,3705
-1.759,50159,18798,3705
-1.747,50199,18798,3705
-1.735,50199,18798,3705
-1.723,50199,18798,3705
-1.711,50199,18798,3705
-1.699,50199,18798,3705
-1.687,50301,18798,3705
-1.675,50301,18798,3705
-1.663,50301,18800,3706
-1.651,50301,18800,3706
-1.639,50301,18800,3706
-1.627,50178,18800,3706
-1.614,50178,18800,3706
-1.602,50178,18800,3706
-1.590,50178,18800,3706
-1.578,50132,18800,3706
-1.566,50132,18768,3700
-1.554,50132,18768,3700
-1.542,50132,18768,3700
-1.530,50132,18768,3700
-1.518,50178,18768,3700
-1.506,50178,18768,3700
-1.494,50178,18768,3700
-1.482,50178,18768,3700
-1.470,50253,18768,3700
-1.458,50253,18798,3706
-1.446,50253,18798,3706
-1.434,50253,18798,3706
-1.422,50253,18798,3706
-1.410,50096,18798,3706
-1.397,50096,18798,3706
-1.385,50096,18798,3706
-1.373,50096,18798,3706
-1.361,50096,18798,3706
-1.349,50104,18767,3700
-1.337,50104,18767,3700
-1.325,50104,18767,3700
-1.313,50104,18767,3700
-1.301,50195,18767,3700
-1.289,50195,18767,3700
-1.277,50195,18767,3700
-1.265,50195,18767,3700
-1.253,50195,18794,3705
-1.241,50137,18794,3705
-1.229,50137,18794,3705
-1.217,50137,18794,3705
-1.205,50137,18794,3705
-1.193,50137,18794,3705
-1.181,50100,18794,3705
-1.168,50100,18794,3705
-1.156,50100,18794,3705
-1.144,50100,18760,3698
-1.132,50146,18760,3698
-1.120,50146,18760,3698
-1.108,50146,18760,3698
-1.096,50146,18760,3698
-1.084,50146,18760,3698
-1.072,50206,18760,3698
-1.060,50206,18760,3698
-1.048,50206,18760,3698
-1.036,50206,18769,3700
-1.024,50206,18769,3700
-1.012,50046,18769,3700
-1.000,50046,18769,3700
-0.988,50046,18769,3700
-0.976,50046,18769,3700
-0.964,50048,18769,3700
-0.951,50048,18769,3700
-0.939,50048,18743,3694
-0.927,50048,18743,3694
-0.915,50048,18743,3694
-0.903,50114,18743,3694
-0.891,50114,18743,3694
-0.879,50114,18743,3694
-0.867,50114,18743,3694
-0.855,50114,18743,3694
-0.843,50135,18743,3694
-0.831,50135,18762,3699
-0.819,50135,18762,3699
-0.807,50135,18762,3699
-0.795,50027,18762,3699
-0.783,50027,18762,3699
-0.771,50027,18762,3699
-0.759,50027,18762,3699
-0.746,50027,18762,3699
-0.734,50050,18762,3699
-0.722,50050,18736,3694
-0.710,50050,18736,3694
-0.698,50050,18736,3694
-0.686,50050,18736,3694
-0.674,50140,18736,3694
-0.662,50140,18736,3694
-0.650,50140,18736,3694
-0.638,50140,18736,3694
-0.626,50050,18756,3697
-0.614,50050,18756,3697
-0.602,50050,18756,3697
-0.590,50050,18756,3697
-0.578,50050,18756,3697
-0.566,49986,18756,3697
-0.554,49986,18756,3697
-0.542,49986,18756,3697
-0.529,49986,18756,3697
-0.517,49986,18735,3693
-0.505,50050,18735,3693
-0.493,50050,18735,3693
-0.481,50050,18735,3693
-0.469,50050,18735,3693
-0.457,50038,18735,3693
-0.445,50038,18735,3693
-0.433,50038,18735,3693
-0.421,50038,18735,3693
-0.409,50038,18729,3691
-0.397,50034,18729,3691
-0.385,50034,18729,3691
-0.373,50034,18729,3691
-0.361,50034,18729,3691
-0.349,50034,18729,3691
-0.337,50004,18729,3691
-0.325,50004,18729,3691
-0.312,50004,18729,3692
-0.300,50004,18729,3692
-0.288,49986,18729,3692
-0.276,49986,18729,3692
-0.264,49986,18729,3692
-0.252,49986,18729,3692
-0.240,49986,18729,3692
-0.228,50094,18729,3692
-0.216,50094,18729,3692
-0.204,50094,18722,3690
-0.192,50094,18722,3690
-0.180,50094,18722,3690
-0.168,49981,18722,3690
-0.156,49981,18722,3690
-0.144,49981,18722,3690
-0.132,49981,18722,3690
-0.120,49976,18722,3690
-0.108,49976,18722,3690
-0.095,49976,18730,3692
-0.083,49976,18730,3692
-0.071,49976,18730,3692
-0.059,49955,18730,3692
-0.047,49955,18730,3692
-0.035,49955,18730,3692
-0.023,49955,18730,3692
-0.011,49955,18730,3692
0.001,50024,18714,3689
0.013,50024,18714,3689
0.025,50024,18714,3689
0.037,50024,18714,3689
0.049,49971,18714,3689
0.061,49971,18714,3689
0.073,49971,18714,3689
0.085,49971,18714,3689
0.097,49971,18714,3689
0.110,49771,18675,3681
0.122,49771,18675,3681
0.134,49771,18675,3681
0.146,49771,18675,3681
0.158,49771,18675,3681
0.170,49729,18675,3681
0.182,49729,18675,3681
0.194,49729,18675,3681
0.206,49729,18675,3681
0.218,49666,18593,3667
0.230,49666,18593,3667
0.242,49666,18593,3667
0.254,49666,18593,3667
0.266,49666,18593,3667
0.278,49538,18593,3667
0.290,49538,18593,3667
0.302,49538,18593,3667
0.314,49538,18534,3655
0.327,49286,18534,3655
0.339,49286,18534,3655
0.351,49286,18534,3655
0.363,49286,18534,3655
0.375,49286,18534,3655
0.387,49308,18534,3655
0.399,49308,18534,3655
0.411,49308,18534,3655
0.423,49308,18441,3637
0.435,49308,18441,3637
0.447,49082,18441,3637
0.459,49082,18441,3637
0.471,49082,18441,3637
0.483,49082,18441,3637
0.495,48999,18441,3637
0.507,48999,18441,3637
0.519,48999,18363,3621
0.531,48999,18363,3621
0.544,48999,18363,3621
0.556,48885,18363,3621
0.568,48885,18363,3621
0.580,48885,18363,3621
0.592,48885,18363,3621
0.604,48885,18363,3621
0.616,48770,18363,3621
0.628,48770,18264,3603
