# device,moes_bench,seconds,8.0,from,254,to,off,t_pub,1789600296.492,t_readback,1789600296.864,readback_level,226,sensors,BH1750 hres MTreg=31 (~54 ms)  TSL2591 id=0x50 gain=1x atime=100 ms
t_rel_pub,bh,c0,c1
-2.000,48737,18273,3536
-1.988,48737,18273,3536
-1.976,48674,18248,3532
-1.964,48674,18248,3532
-1.952,48674,18248,3532
-1.940,48674,18248,3532
-1.928,48674,18248,3532
-1.916,48636,18248,3532
-1.904,48636,18248,3532
-1.892,48636,18248,3532
-1.880,48636,18248,3532
-1.868,48636,18261,3534
-1.856,48651,18261,3534
-1.843,48651,18261,3534
-1.831,48651,18261,3534
-1.819,48651,18261,3534
-1.807,48770,18261,3534
-1.795,48770,18261,3534
-1.783,48770,18261,3534
-1.771,48770,18266,3535
-1.759,48770,18266,3535
-1.747,48642,18266,3535
-1.735,48642,18266,3535
-1.723,48642,18266,3535
-1.711,48642,18266,3535
-1.699,48595,18266,3535
-1.687,48595,18266,3535
-1.675,48595,18266,3535
-1.663,48595,18245,3531
-1.651,48595,18245,3531
-1.639,48746,18245,3531
-1.627,48746,18245,3531
-1.614,48746,18245,3531
-1.602,48746,18245,3531
-1.590,48746,18245,3531
-1.578,48698,18245,3531
-1.566,48698,18245,3531
-1.554,48698,18266,3536
-1.542,48698,18266,3536
-1.530,48628,18266,3536
-1.518,48628,18266,3536
-1.506,48628,18266,3536
-1.494,48628,18266,3536
-1.482,48628,18266,3536
-1.470,48630,18266,3536
-1.458,48630,18246,3532
-1.446,48630,18246,3532
-1.434,48630,18246,3532
-1.422,48630,18246,3532
-1.410,48728,18246,3532
-1.397,48728,18246,3532
-1.385,48728,18246,3532
-1.373,48728,18246,3532
-1.361,48673,18246,3532
-1.349,48673,18259,3534
-1.337,48673,18259,3534
-1.325,48673,18259,3534
-1.313,48673,18259,3534
-1.301,48599,18259,3534
-1.289,48599,18259,3534
-1.277,48599,18259,3534
-1.265,48599,18259,3534
-1.253,48719,18259,3534
-1.241,48719,18249,3532
-1.229,48719,18249,3532
-1.217,48719,18249,3532
-1.205,48719,18249,3532
-1.193,48628,18249,3532
-1.180,48628,18249,3532
-1.168,48628,18249,3532
-1.156,48628,18249,3532
-1.144,48628,18249,3532
-1.132,48578,18249,3532
-1.120,48578,18249,3532
-1.108,48578,18249,3532
-1.096,48578,18249,3532
-1.084,48674,18249,3532
-1.072,48674,18249,3532
-1.060,48674,18249,3532
-1.048,48674,18249,3532
-1.036,48674,18258,3533
-1.024,48705,18258,3533
-1.012,48705,18258,3533
-1.000,48705,18258,3533
-0.988,48705,18258,3533
-0.976,48705,18258,3533
-0.963,48634,18258,3533
-0.951,48634,18258,3533
-0.939,48634,18258,3533
-0.927,48634,18242,3530
-0.915,48638,18242,3530
-0.903,48638,18242,3530
-0.891,48638,18242,3530
-0.879,48638,18242,3530
-0.867,48638,18242,3530
-0.855,48717,18242,3530
-0.843,48717,18242,3530
-0.831,48717,18242,3530
-0.819,48717,18264,3535
-0.807,48717,18264,3535
-0.795,48706,18264,3535
-0.783,48706,18264,3535
-0.771,48706,18264,3535
-0.758,48706,18264,3535
-0.746,48578,18264,3535
-0.734,48578,18264,3535
-0.722,48578,18247,3531
-0.710,48578,18247,3531
-0.698,48578,18247,3531
-0.686,48637,18247,3531
-0.674,48637,18247,3531
-0.662,48637,18247,3531
-0.650,48637,18247,3531
-0.638,48637,18247,3531
-0.626,48703,18247,3531
-0.614,48703,18257,3533
-0.602,48703,18257,3533
-0.590,48703,18257,3533
-0.578,48715,18257,3533
-0.566,48715,18257,3533
-0.554,48715,18257,3533
-0.541,48715,18257,3533
-0.529,48715,18257,3533
-0.517,48611,18257,3533
-0.505,48611,18258,3534
-0.493,48611,18258,3534
-0.481,48611,18258,3534
-0.469,48611,18258,3534
-0.457,48669,18258,3534
-0.445,48669,18258,3534
-0.433,48669,18258,3534
-0.421,48669,18258,3534
-0.409,48704,18251,3532
-0.397,48704,18251,3532
-0.385,48704,18251,3532
-0.373,48704,18251,3532
-0.361,48704,18251,3532
-0.349,48629,18251,3532
-0.337,48629,18251,3532
-0.324,48629,18251,3532
-0.312,48629,18251,3532
-0.300,48629,18265,3535
-0.288,48685,18265,3535
-0.276,48685,18265,3535
-0.264,48685,18265,3535
-0.252,48685,18265,3535
-0.240,48695,18265,3535
-0.228,48695,18265,3535
-0.216,48695,18265,3535
-0.204,48695,18265,3535
-0.192,48695,18246,3531
-0.180,48684,18246,3531
-0.168,48684,18246,3531
-0.156,48684,18246,3531
-0.144,48684,18246,3531
-0.132,48673,18246,3531
-0.120,48673,18246,3531
-0.107,48673,18246,3531
-0.095,48673,18246,3531
-0.083,48673,18271,3536
-0.071,48672,18271,3536
-0.059,48672,18271,3536
-0.047,48672,18271,3536
-0.035,48672,18271,3536
-0.023,48672,18271,3536
-0.011,48724,18271,3536
0.001,48724,18271,3536
0.013,48724,18250,3531
0.025,48724,18250,3531
0.037,48578,18250,3531
0.049,48578,18250,3531
0.061,48578,18250,3531
0.073,48578,18250,3531
0.085,48578,18250,3531
0.097,48554,18250,3531
0.110,48554,18250,3531
0.122,48554,18213,3524
0.134,48554,18213,3524
0.146,48554,18213,3524
0.158,48474,18213,3524
0.170,48474,18213,3524
0.182,48474,18213,3524
0.194,48474,18213,3524
0.206,48258,18213,3524
0.218,48258,18213,3524
0.230,48258,18154,3513
0.242,48258,18154,3513
0.254,48258,18154,3513
0.266,48186,18154,3513
0.278,48186,18154,3513
0.290,48186,18154,3513
0.302,48186,18154,3513
0.314,48186,18154,3513
0.327,48163,18054,3495
0.339,48163,18054,3495
0.351,48163,18054,3495
0.363,48163,18054,3495
0.375,48042,18054,3495
0.387,48042,18054,3495
0.399,48042,18054,3495
0.411,48042,18054,3495
0.423,48042,18054,3495
0.435,47781,18001,3486
0.447,47781,18001,3486
0.459,47781,18001,3486
0.471,47781,18001,3486
0.483,47746,18001,3486
0.495,47746,18001,3486
0.507,47746,18001,3486
0.519,47746,18001,3486
0.531,47746,18001,3486
0.544,47697,17908,3468
0.556,47697,17908,3468
0.568,47697,17908,3468
0.580,47697,17908,3468
0.592,47697,17908,3468
0.604,47399,17908,3468
0.616,47399,17908,3468
0.628,47399,17908,3468
0.640,47399,17830,3453
0.652,47362,17830,3453
0.664,47362,17830,3453
0.676,47362,17830,3453
0.688,47362,17830,3453
0.700,47362,17830,3453
0.712,47259,17830,3453
0.724,47259,17830,3453
0.736,47259,17830,3453
0.749,47259,17734,3436
0.761,47259,17734,3436
0.773,47072,17734,3436
0.785,47072,17734,3436
0.797,47072,17734,3436
0.809,47072,17734,3436
0.821,47008,17734,3436
0.833,47008,17734,3436
0.845,47008,17734,3436
0.857,47008,17646,3419
0.869,47008,17646,3419
0.881,46888,17646,3419
0.893,46888,17646,3419
0.905,46888,17646,3419
0.917,46888,17646,3419
0.929,46824,17646,3419
0.941,46824,17646,3419
0.953,46824,17564,3403
0.966,46824,17564,3403
0.978,46824,17564,3403
0.990,46576,17564,3403
1.002,46576,17564,3403
1.014,46576,17564,3403
1.026,46576,17564,3403
1.038,46576,17564,3403
1.050,46487,17564,3403
1.062,46487,17448,3382
1.074,46487,17448,3382
1.086,46487,17448,3382
