# device,moes_bench,seconds,8.0,from,254,to,off,t_pub,1789594252.453,t_readback,1789594252.808,readback_level,224,sensors,BH1750 hres MTreg=31 (~54 ms)  TSL2591 id=0x50 gain=1x atime=100 ms
t_rel_pub,bh,c0,c1
-2.000,50114,18835,3699
-1.988,50152,18835,3699
-1.976,50152,18810,3695
-1.964,50152,18810,3695
-1.952,50152,18810,3695
-1.940,50152,18810,3695
-1.928,50011,18810,3695
-1.916,50011,18810,3695
-1.904,50011,18810,3695
-1.892,50011,18810,3695
-1.880,50011,18810,3695
-1.868,50040,18806,3694
-1.856,50040,18806,3694
-1.843,50040,18806,3694
-1.831,50040,18806,3694
-1.819,50153,18806,3694
-1.807,50153,18806,3694
-1.795,50153,18806,3694
-1.783,50153,18806,3694
-1.771,50153,18806,3694
-1.759,50074,18791,3690
-1.747,50074,18791,3690
-1.735,50074,18791,3690
-1.723,50074,18791,3690
-1.711,50074,18791,3690
-1.699,49962,18791,3690
-1.687,49962,18791,3690
-1.675,49962,18791,3690
-1.663,49962,18806,3694
-1.651,50092,18806,3694
-1.639,50092,18806,3694
-1.627,50092,18806,3694
-1.614,50092,18806,3694
-1.602,50092,18806,3694
-1.590,50129,18806,3694
-1.578,50129,18806,3694
-1.566,50129,18806,3694
-1.554,50129,18775,3688
-1.542,50129,18775,3688
-1.530,49956,18775,3688
-1.518,49956,18775,3688
-1.506,49956,18775,3688
-1.494,49956,18775,3688
-1.482,50013,18775,3688
-1.470,50013,18775,3688
-1.458,50013,18775,3688
-1.446,50013,18779,3688
-1.434,50013,18779,3688
-1.422,50050,18779,3688
-1.410,50050,18779,3688
-1.397,50050,18779,3688
-1.385,50050,18779,3688
-1.373,49964,18779,3688
-1.361,49964,18779,3688
-1.349,49964,18783,3689
-1.337,49964,18783,3689
-1.325,49964,18783,3689
-1.313,49904,18783,3689
-1.301,49904,18783,3689
-1.289,49904,18783,3689
-1.277,49904,18783,3689
-1.265,49904,18783,3689
-1.253,49997,18783,3689
-1.241,49997,18750,3682
-1.229,49997,18750,3682
-1.217,49997,18750,3682
-1.205,49940,18750,3682
-1.193,49940,18750,3682
-1.181,49940,18750,3682
-1.168,49940,18750,3682
-1.156,49940,18750,3682
-1.144,49941,18750,3682
-1.132,49941,18768,3685
-1.120,49941,18768,3685
-1.108,49941,18768,3685
-1.096,49941,18768,3685
-1.084,50019,18768,3685
-1.072,50019,18768,3685
-1.060,50019,18768,3685
-1.048,50019,18768,3685
-1.036,49974,18758,3684
-1.024,49974,18758,3684
-1.012,49974,18758,3684
-1.000,49974,18758,3684
-0.988,49974,18758,3684
-0.976,49873,18758,3684
-0.963,49873,18758,3684
-0.951,49873,18758,3684
-0.939,49873,18758,3684
-0.927,49908,18750,3683
-0.915,49908,18750,3683
-0.903,49908,18750,3683
-0.891,49908,18750,3683
-0.879,49908,18750,3683
-0.867,49962,18750,3683
-0.855,49962,18750,3683
-0.843,49962,18750,3683
-0.831,49962,18750,3683
-0.819,49962,18734,3679
-0.807,49834,18734,3679
-0.795,49834,18734,3679
-0.783,49834,18734,3679
-0.771,49834,18734,3679
-0.759,49840,18734,3679
-0.746,49840,18734,3679
-0.734,49840,18734,3679
-0.722,49840,18759,3685
-0.710,49840,18759,3685
-0.698,49919,18759,3685
-0.686,49919,18759,3685
-0.674,49919,18759,3685
-0.662,49919,18759,3685
-0.650,49919,18759,3685
-0.638,49892,18759,3685
-0.626,49892,18759,3685
-0.614,49892,18717,3676
-0.602,49892,18717,3676
-0.590,49809,18717,3676
-0.578,49809,18717,3676
-0.566,49809,18717,3676
-0.554,49809,18717,3676
-0.542,49809,18717,3676
-0.529,49877,18717,3676
-0.517,49877,18717,3676
-0.505,49877,18742,3681
-0.493,49877,18742,3681
-0.481,49877,18742,3681
-0.469,49967,18742,3681
-0.457,49967,18742,3681
-0.445,49967,18742,3681
-0.433,49967,18742,3681
-0.421,49765,18742,3681
-0.409,49765,18717,3676
-0.397,49765,18717,3676
-0.385,49765,18717,3676
-0.373,49765,18717,3676
-0.361,49805,18717,3676
-0.349,49805,18717,3676
-0.337,49805,18717,3676
-0.325,49805,18717,3676
-0.312,49910,18717,3676
-0.300,49910,18733,3679
-0.288,49910,18733,3679
-0.276,49910,18733,3679
-0.264,49910,18733,3679
-0.252,49821,18733,3679
-0.240,49821,18733,3679
-0.228,49821,18733,3679
-0.216,49821,18733,3679
-0.204,49821,18733,3679
-0.192,49757,18706,3673
-0.180,49757,18706,3673
-0.168,49757,18706,3673
-0.156,49757,18706,3673
-0.144,49912,18706,3673
-0.132,49912,18706,3673
-0.120,49912,18706,3673
-0.108,49912,18706,3673
-0.095,49912,18723,3676
-0.083,49813,18723,3676
-0.071,49813,18723,3676
-0.059,49813,18723,3676
-0.047,49813,18723,3676
-0.035,49813,18723,3676
-0.023,49748,18723,3676
-0.011,49748,18723,3676
0.001,49748,18723,3676
0.013,49748,18713,3675
0.025,49891,18713,3675
0.037,49891,18713,3675
0.049,49891,18713,3675
0.061,49891,18713,3675
0.073,49891,18713,3675
0.085,49701,18713,3675
0.097,49701,18713,3675
0.109,49701,18713,3675
0.122,49701,18647,3662
0.134,49701,18647,3662
0.146,49474,18647,3662
0.158,49474,18647,3662
0.170,49474,18647,3662
0.182,49474,18647,3662
0.194,49409,18647,3662
0.206,49409,18647,3662
0.218,49409,18577,3648
0.230,49409,18577,3648
0.242,49409,18577,3648
0.254,49373,18577,3648
0.266,49373,18577,3648
0.278,49373,18577,3648
0.290,49373,18577,3648
0.302,49216,18577,3648
0.314,49216,18577,3648
0.326,49216,18509,3637
0.339,49216,18509,3637
0.351,49216,18509,3637
0.363,49072,18509,3637
0.375,49072,18509,3637
0.387,49072,18509,3637
0.399,49072,18509,3637
0.411,49072,18509,3637
0.423,49016,18509,3637
0.435,49016,18412,3618
0.447,49016,18412,3618
0.459,49016,18412,3618
0.471,48890,18412,3618
0.483,48890,18412,3618
0.495,48890,18412,3618
0.507,48890,18412,3618
0.519,48890,18412,3618
0.531,48768,18323,3600
0.544,48768,18323,3600
0.556,48768,18323,3600
0.568,48768,18323,3600
0.580,48768,18323,3600
0.592,48663,18323,3600
0.604,48663,18323,3600
0.616,48663,18323,3600
0.628,48663,18323,3600
0.640,48569,18261,3588
0.652,48569,18261,3588
0.664,48569,18261,3588
0.676,48569,18261,3588
0.688,48569,18261,3588
0.700,48297,18261,3588
0.712,48297,18261,3588
0.724,48297,18261,3588
0.736,48297,18261,3588
0.748,48244,18153,3569
0.761,48244,18153,3569
0.773,48244,18153,3569
0.785,48244,18153,3569
0.797,48244,18153,3569
0.809,48130,18153,3569
0.821,48130,18153,3569
0.833,48130,18153,3569
0.845,48130,18061,3551
0.857,48130,18061,3551
0.869,48017,18061,3551
0.881,48017,18061,3551
0.893,48017,18061,3551
0.905,48017,18061,3551
0.917,47681,18061,3551
0.929,47681,18061,3551
0.941,47681,18061,3551
0.953,47681,17951,3529
0.965,47681,17951,3529
0.978,47641,17951,3529
0.990,47641,17951,3529
1.002,47641,17951,3529
1.014,47641,17951,3529
1.026,47641,17951,3529
1.038,47490,17951,3529
1.050,47490,17951,3529
1.062,47490,17873,3519
1.074,47490,17873,3519
1.086,47298,17873,3519
1.098,47298,17873,3519
1.110,47298,17873,3519
1.122,47298,17873,3519
1.134,47298,17873,3519
1.146,47199,17873,3519
1.158,47199,17675,3492
1.170,47199,17675,3492
1.182,47199,17675,3492
1.195,47199,17675,3492
1.207,47042,17675,3492
1.219,47042,17675,3492
1.231,47042,17675,3492
1.243,47042,17675,3492
1.255,46912,17675,3492
1.267,46912,17461,3478
1.279,46912,17461,3478
1.291,46912,17461,3478
1.303,46912,17461,3478
1.315,46658,17461,3478
1.327,46658,17461,3478
1.339,46658,17461,3478
1.351,46658,17461,3478
1.363,46658,17461,3478
1.375,46530,17209,3465
1.387,46530,17209,3465
1.399,46530,17209,3465
1.412,46530,17209,3465
1.424,46465,17209,3465
1.436,46465,17209,3465
1.448,46465,17209,3465
1.460,46465,17209,3465
1.472,46465,16931,3470
1.484,46292,16931,3470
1.496,46292,16931,3470
1.508,46292,16931,3470
