# device,moes_bench,seconds,8.0,from,254,to,1,t_pub,1789594299.958,t_readback,1789594300.322,readback_level,226,sensors,BH1750 hres MTreg=31 (~54 ms)  TSL2591 id=0x50 gain=1x atime=100 ms
t_rel_pub,bh,c0,c1
-2.000,49812,18668,3657
-1.988,49682,18668,3657
-1.976,49682,18668,3657
-1.964,49682,18668,3657
-1.952,49682,18654,3654
-1.940,49682,18654,3654
-1.928,49716,18654,3654
-1.916,49716,18654,3654
-1.904,49716,18654,3654
-1.892,49716,18654,3654
-1.880,49716,18654,3654
-1.868,49763,18654,3654
-1.856,49763,18654,3654
-1.843,49763,18658,3654
-1.831,49763,18658,3654
-1.819,49687,18658,3654
-1.807,49687,18658,3654
-1.795,49687,18658,3654
-1.783,49687,18658,3654
-1.771,49687,18658,3654
-1.759,49664,18658,3654
-1.747,49664,18658,3654
-1.735,49664,18641,3651
-1.723,49664,18641,3651
-1.711,49664,18641,3651
-1.699,49696,18641,3651
-1.687,49696,18641,3651
-1.675,49696,18641,3651
-1.663,49696,18641,3651
-1.651,49740,18641,3651
-1.639,49740,18659,3655
-1.627,49740,18659,3655
-1.614,49740,18659,3655
-1.602,49740,18659,3655
-1.590,49644,18659,3655
-1.578,49644,18659,3655
-1.566,49644,18659,3655
-1.554,49644,18659,3655
-1.542,49738,18659,3655
-1.530,49738,18634,3650
-1.518,49738,18634,3650
-1.506,49738,18634,3650
-1.494,49738,18634,3650
-1.482,49719,18634,3650
-1.470,49719,18634,3650
-1.458,49719,18634,3650
-1.446,49719,18634,3650
-1.434,49719,18634,3650
-1.422,49632,18658,3654
-1.410,49632,18658,3654
-1.397,49632,18658,3654
-1.385,49632,18658,3654
-1.373,49649,18658,3654
-1.361,49649,18658,3654
-1.349,49649,18658,3654
-1.337,49649,18658,3654
-1.325,49649,18629,3649
-1.313,49741,18629,3649
-1.301,49741,18629,3649
-1.289,49741,18629,3649
-1.277,49741,18629,3649
-1.265,49741,18629,3649
-1.253,49578,18629,3649
-1.241,49578,18629,3649
-1.229,49578,18629,3649
-1.217,49578,18649,3653
-1.205,49645,18649,3653
-1.193,49645,18649,3653
-1.181,49645,18649,3653
-1.168,49645,18649,3653
-1.156,49645,18649,3653
-1.144,49751,18649,3653
-1.132,49751,18649,3653
-1.120,49751,18649,3653
-1.108,49751,18620,3647
-1.096,49633,18620,3647
-1.084,49633,18620,3647
-1.072,49633,18620,3647
-1.060,49633,18620,3647
-1.048,49633,18620,3647
-1.036,49602,18620,3647
-1.024,49602,18620,3647
-1.012,49602,18635,3650
-1.000,49602,18635,3650
-0.988,49602,18635,3650
-0.976,49675,18635,3650
-0.964,49675,18635,3650
-0.951,49675,18635,3650
-0.939,49675,18635,3650
-0.927,49622,18635,3650
-0.915,49622,18635,3650
-0.903,49622,18613,3646
-0.891,49622,18613,3646
-0.879,49622,18613,3646
-0.867,49538,18613,3646
-0.855,49538,18613,3646
