level,b36_C,b36_W,b36_sum,b40_C,b40_W,b40_sum
1,94,0,94,156,130,286
2,94,0,94,192,140,332
3,236,0,236,228,150,378
4,236,0,236,264,161,425
5,236,94,330,301,171,472
6,236,94,330,337,181,518
7,330,94,424,373,192,565
8,330,94,424,409,202,611
9,472,94,566,446,212,658
10,472,94,566,482,223,705
11,472,94,566,518,233,751
12,472,94,566,554,243,797
13,566,94,660,591,254,845
14,566,236,802,627,264,891
15,566,236,802,663,275,938
16,708,236,944,700,285,985
17,708,236,944,736,295,1031
18,708,236,944,772,305,1077
19,708,236,944,808,316,1124
20,803,236,1039,844,326,1170
21,803,236,1039,881,336,1217
22,803,236,1039,917,347,1264
23,803,236,1039,953,357,1310
24,944,236,1180,989,368,1357
25,944,236,1180,1026,378,1404
26,1039,236,1275,1062,388,1450
27,1039,236,1275,1098,398,1496
28,1039,330,1369,1135,409,1544
29,1039,330,1369,1171,419,1590
30,1181,330,1511,1207,429,1636
31,1181,330,1511,1243,440,1683
32,1181,330,1511,1280,450,1730
33,1322,330,1652,1316,461,1777
34,1322,330,1652,1352,471,1823
35,1322,330,1652,1388,481,1869
36,1417,330,1747,1425,492,1917
37,1417,472,1889,1461,502,1963
38,1417,472,1889,1497,512,2009
39,1559,472,2031,1533,522,2055
40,1559,472,2031,1570,533,2103
41,1559,472,2031,1606,543,2149
42,1559,472,2031,1642,553,2195
43,1653,472,2125,1678,564,2242
44,1653,472,2125,1715,574,2289
45,1653,472,2125,1751,585,2336
46,1653,472,2125,1787,595,2382
47,1795,472,2267,1823,605,2428
48,1795,472,2267,1860,615,2475
49,1889,472,2361,1896,626,2522
50,1889,566,2455,1932,636,2568
51,1889,566,2455,1968,647,2615
52,1889,566,2455,2005,657,2662
53,2031,566,2597,2041,667,2708
54,2031,566,2597,2077,678,2755
55,2031,566,2597,2113,688,2801
56,2125,566,2691,2150,698,2848
57,2125,566,2691,2186,709,2895
58,2125,566,2691,2222,719,2941
59,2125,708,2833,2258,729,2987
60,2267,708,2975,2295,740,3035
61,2267,708,2975,2331,750,3081
62,2409,708,3117,2367,760,3127
63,2409,708,3117,2403,771,3174
64,2409,708,3117,2440,781,3221
65,2409,708,3117,2476,791,3267
66,2503,708,3211,2512,802,3314
67,2503,708,3211,2548,812,3360
68,2503,708,3211,2585,822,3407
69,2503,708,3211,2621,833,3454
70,2645,708,3353,2657,843,3500
71,2645,708,3353,2693,853,3546
72,2740,708,3448,2729,864,3593
73,2740,803,3543,2766,874,3640
74,2740,803,3543,2802,884,3686
75,2740,803,3543,2838,895,3733
76,2881,803,3684,2875,905,3780
77,2881,803,3684,2911,915,3826
78,2881,803,3684,2947,926,3873
79,2976,803,3779,2983,936,3919
80,2976,803,3779,3020,946,3966
81,2976,803,3779,3056,957,4013
82,2976,803,3779,3092,967,4059
83,3118,803,3921,3128,977,4105
84,3118,803,3921,3165,988,4153
85,3212,803,4015,3201,998,4199
86,3212,944,4156,3237,1008,4245
87,3212,944,4156,3273,1019,4292
88,3212,944,4156,3309,1029,4338
89,3354,944,4298,3346,1039,4385
90,3354,944,4298,3382,1050,4432
91,3354,944,4298,3418,1060,4478
92,3354,944,4298,3454,1070,4524
93,3448,944,4392,3491,1081,4572
94,3448,944,4392,3527,1091,4618
95,3448,1039,4487,3563,1101,4664
96,3590,1039,4629,3600,1112,4712
97,3590,1039,4629,3636,1122,4758
98,3590,1039,4629,3672,1133,4805
99,3732,1039,4771,3708,1143,4851
100,3732,1039,4771,3745,1153,4898
101,3732,1039,4771,3781,1163,4944
102,3826,1039,4865,3817,1174,4991
103,3826,1039,4865,3853,1184,5037
104,3826,1039,4865,3890,1194,5084
105,3826,1039,4865,3926,1205,5131
106,3968,1039,5007,3962,1215,5177
107,3968,1039,5007,3998,1226,5224
108,4062,1039,5101,4034,1236,5270
109,4062,1181,5243,4071,1246,5317
110,4062,1181,5243,4107,1256,5363
111,4062,1181,5243,4143,1267,5410
112,4204,1181,5385,4179,1277,5456
113,4204,1181,5385,4216,1288,5504
114,4204,1181,5385,4252,1298,5550
115,4204,1181,5385,4288,1308,5596
116,4299,1181,5480,4325,1318,5643
117,4299,1181,5480,4361,1329,5690
118,4299,1322,5621,4397,1339,5736
119,4440,1322,5762,4433,1350,5783
120,4440,1322,5762,4470,1360,5830
121,4440,1322,5762,4506,1370,5876
122,4440,1322,5762,4542,1381,5923
123,4535,1322,5857,4578,1391,5969
124,4535,1322,5857,4614,1401,6015
